,n_signals,n_trades,fill_rate,win_rate,avg_return,expectancy,avg_win,avg_loss,profit_factor,total_return,max_drawdown
train,370.0,370.0,1.0,0.4783783783783784,0.002851321953265668,0.002851321953265668,0.05270149866811351,-0.04286619762459998,1.127519238640424,0.47862242662583077,-0.3147559120506944
val,93.0,93.0,1.0,0.43010752688172044,0.002116147233438605,0.002116147233438605,0.05408855912473852,-0.037108314571316046,1.1000648918709082,0.03985290657286944,-0.20181966964861175
test,99.0,99.0,1.0,0.48484848484848486,0.0039836569949440095,0.0039836569949440095,0.042830802875745304,-0.03257836265757486,1.2373655578323404,0.11592877607966989,-0.13386029654388876
