strategy,date,code,name,industry,vol_ratio,buy,sell,ret,equity_after
A_open5m_vol_ratio_20_60,2024-07-30,sh.600653,申华控股,F52零售业,25.607874508073117,1.36,1.33,-0.0235588235294118,976441.1764705882
A_open5m_vol_ratio_20_60,2024-08-21,sh.601801,皖新传媒,R86新闻和出版业,23.15296175956011,7.2,6.71,-0.06955555555555554,908524.2679738562
A_open5m_vol_ratio_20_60,2024-09-25,sh.600569,安阳钢铁,C31黑色金属冶炼和压延加工业,33.42312061012077,1.64,1.53,-0.06857317073170727,846223.8782321856
A_open5m_vol_ratio_20_60,2024-10-28,sh.600581,*ST八钢,C31黑色金属冶炼和压延加工业,31.165495084848153,3.4,3.77,0.10732352941176476,876497.1226603155
A_open5m_vol_ratio_20_60,2024-10-28,sh.600569,安阳钢铁,C31黑色金属冶炼和压延加工业,28.320271155687717,1.77,2.05,0.1566920903954801,920695.9854679059
A_open5m_vol_ratio_20_60,2024-10-28,sh.600307,酒钢宏兴,C31黑色金属冶炼和压延加工业,20.46993475201501,1.67,1.85,0.10628443113772473,950676.1266389283
A_open5m_vol_ratio_20_60,2024-12-13,sh.603216,梦天家居,C20木材加工和木、竹、藤、棕、草制品业,24.806036096757282,13.06,14.45,0.10493185298621738,1050432.334196911
A_open5m_vol_ratio_20_60,2025-01-06,sh.600664,哈药股份,C27医药制造业,25.22547897378177,4.57,4.8,0.04882822757111588,1101723.0832591362
A_open5m_vol_ratio_20_60,2025-02-18,sh.601877,正泰电器,C38电气机械和器材制造业,27.33677567412507,24.19,23.11,-0.04614654816039693,1076302.7245986168
A_open5m_vol_ratio_20_60,2025-02-18,sh.603050,科林电气,C38电气机械和器材制造业,24.13927227101631,22.66,22.16,-0.02356531332744921,1063321.4997700744
A_open5m_vol_ratio_20_60,2025-02-24,sh.600359,新农开发,A01农业,31.26687470320874,6.77,6.5,-0.04138183161004422,1019319.3085192495
A_open5m_vol_ratio_20_60,2025-03-07,sh.600637,东方明珠,I63电信、广播电视和卫星传输服务,24.364334268194135,8.49,8.08,-0.04979210836277975,968565.2510531853
A_open5m_vol_ratio_20_60,2025-05-13,sh.601022,宁波远洋,G55水上运输业,23.539913391616963,8.74,9.58,0.09460983981693355,1060201.054307575
A_open5m_vol_ratio_20_60,2025-05-27,sh.600189,泉阳泉,C15酒、饮料和精制茶制造业,20.13881985372435,7.56,8.08,0.06728306878306883,1131534.6347684339
A_open5m_vol_ratio_20_60,2025-05-30,sh.600834,申通地铁,S91综合,28.120513987605477,9.52,8.45,-0.11389495798319332,1002658.545084955
A_open5m_vol_ratio_20_60,2025-06-26,sh.601162,天风证券,J67资本市场服务,33.37645832060235,4.7,4.76,0.011265957446808418,1008306.499336258
A_open5m_vol_ratio_20_60,2025-06-26,sh.600816,建元信托,J69其他金融业,26.142459744289305,3.03,2.95,-0.02790264026402628,994318.0889906792
A_open5m_vol_ratio_20_60,2025-07-02,sh.600467,好当家,A04渔业,31.456281430326065,2.39,2.5,0.04452510460251041,1016454.1474509183
A_open5m_vol_ratio_20_60,2025-07-02,sh.600097,开创国际,A04渔业,31.399851693169648,11.0,11.44,0.038500000000000034,1035594.770663989
A_open5m_vol_ratio_20_60,2025-07-11,sh.600864,哈投股份,J67资本市场服务,28.44152562360314,6.55,6.82,0.039721374045801616,1076730.0179094095
A_open5m_vol_ratio_20_60,2025-07-21,sh.600425,青松建化,C30非金属矿物制品业,32.88123101661604,3.96,4.42,0.11466161616161613,1138459.8199210188
A_open5m_vol_ratio_20_60,2025-07-21,sh.601800,中国交建,E48土木工程建筑业,24.360750042066297,9.5,9.42,-0.009921052631578995,1133118.6723321788
A_open5m_vol_ratio_20_60,2025-07-29,sh.600429,三元股份,C14食品制造业,29.775300592421214,4.99,4.7,-0.05961623246492992,1110601.250272143
A_open5m_vol_ratio_20_60,2025-07-29,sh.600597,光明乳业,C14食品制造业,28.110427159112106,9.16,8.68,-0.05390174672489084,1090242.2250437117
A_open5m_vol_ratio_20_60,2025-07-29,sh.600882,妙可蓝多,C14食品制造业,27.15607528151823,29.0,27.0,-0.07046551724137934,1063626.9605964608
A_open5m_vol_ratio_20_60,2025-10-13,sh.600598,北大荒,A01农业,33.214821280691154,15.2,14.62,-0.03965789473684206,1021445.7545538591
