strategy,date,code,name,industry,buy,sell,hold,ret,equity_after
B_all_open_limit_down,2024-03-08,sh.603933,睿能科技,C39计算机、通信和其他电子设备制造业,15.4,15.862,intraday_rebound,0.028500000000000025,615074.5512792588
B_all_open_limit_down,2024-03-11,sh.600234,科新发展,E50建筑装饰、装修和其他建筑业,4.94,5.0882000000000005,intraday_rebound,0.028500000000000025,618580.4762215506
B_all_open_limit_down,2024-03-11,sh.603580,艾艾精工,C29橡胶和塑料制品业,12.46,12.833800000000002,intraday_rebound,0.028500000000000025,622086.4011638423
B_all_open_limit_down,2024-03-18,sh.600381,*ST春天,C14食品制造业,5.91,5.5,next_open,-0.0708739424703892,613268.4580023028
B_all_open_limit_down,2024-03-22,sz.002875,安奈儿,C18纺织服装、服饰业,16.61,17.1083,intraday_rebound,0.028500000000000025,616764.0882129159
B_all_open_limit_down,2024-03-25,sh.603356,华菱精工,C34通用设备制造业,15.06,13.63,next_open,-0.09645351925630813,604866.2748411072
B_all_open_limit_down,2024-03-25,sh.605056,咸亨国际,F51批发业,15.68,14.11,next_open,-0.10162755102040816,592330.2300726244
B_all_open_limit_down,2024-03-25,sz.002862,实丰文化,C24文教、工美、体育和娱乐用品制造业,14.71,15.1513,intraday_rebound,0.028500000000000025,595845.785375438
B_all_open_limit_down,2024-03-25,sh.603363,傲农生物,C13农副食品加工业,5.08,5.2324,intraday_rebound,0.028500000000000025,599361.3406782517
B_all_open_limit_down,2024-03-26,sh.605056,咸亨国际,F51批发业,14.11,14.5333,intraday_rebound,0.028500000000000025,602777.7003201178
B_all_open_limit_down,2024-03-26,sh.603716,塞力医疗,F51批发业,7.96,8.1988,intraday_rebound,0.028500000000000025,606194.0599619838
B_all_open_limit_down,2024-03-26,sz.002553,南方精工,C36汽车制造业,12.02,12.3806,intraday_rebound,0.028500000000000025,609610.4196038498
B_all_open_limit_down,2024-03-26,sh.600234,科新发展,E50建筑装饰、装修和其他建筑业,6.04,6.2212000000000005,intraday_rebound,0.028500000000000025,613026.7792457158
B_all_open_limit_down,2024-03-26,sh.605277,新亚电子,C38电气机械和器材制造业,16.85,17.355500000000003,intraday_rebound,0.028500000000000025,616443.1388875819
B_all_open_limit_down,2024-03-27,sh.603377,ST东时,P83教育,3.77,3.8831,intraday_rebound,0.028500000000000025,619956.8647792412
B_all_open_limit_down,2024-03-27,sz.002735,王子新材,C29橡胶和塑料制品业,12.92,13.3076,intraday_rebound,0.028500000000000025,623470.5906709003
B_all_open_limit_down,2024-03-27,sh.603499,翔港科技,C23印刷和记录媒介复制业,24.09,24.8127,intraday_rebound,0.028500000000000025,626984.3165625596
B_all_open_limit_down,2024-03-28,sz.002388,新亚制程,C39计算机、通信和其他电子设备制造业,5.03,5.1809,intraday_rebound,0.028500000000000025,630558.1271669662
B_all_open_limit_down,2024-03-28,sh.603037,凯众股份,C36汽车制造业,22.52,23.1956,intraday_rebound,0.028500000000000025,634131.9377713727
B_all_open_limit_down,2024-03-28,sh.600234,科新发展,E50建筑装饰、装修和其他建筑业,6.17,6.3551,intraday_rebound,0.028500000000000025,637705.7483757794
B_all_open_limit_down,2024-03-28,sh.603499,翔港科技,C23印刷和记录媒介复制业,21.68,22.3304,intraday_rebound,0.028500000000000025,641279.5589801859
B_all_open_limit_down,2024-03-28,sh.600243,*ST海华,C34通用设备制造业,4.6,4.7379999999999995,intraday_rebound,0.028500000000000025,644853.3695845925
B_all_open_limit_down,2024-03-29,sh.603626,科森科技,C33金属制品业,7.66,7.8898,intraday_rebound,0.028500000000000025,648529.0337912247
B_all_open_limit_down,2024-04-01,sz.000908,石药景峰,C27医药制造业,2.27,2.11,next_open,-0.07198458149779746,639192.2155738983
B_all_open_limit_down,2024-04-01,sh.603421,鼎信通讯,C40仪器仪表制造业,7.33,7.2,next_open,-0.019235334242837687,636697.2810276665
B_all_open_limit_down,2024-04-01,sh.603363,傲农生物,C13农副食品加工业,5.13,5.2839,intraday_rebound,0.028500000000000025,640393.8965202764
B_all_open_limit_down,2024-04-01,sh.603221,爱丽家居,C29橡胶和塑料制品业,11.6,11.0,next_open,-0.053224137931034476,633490.4167709196
B_all_open_limit_down,2024-04-03,sz.002778,中晟高科,C25石油、煤炭及其他燃料加工业,11.7,12.051,intraday_rebound,0.028500000000000025,637101.3121465138
B_all_open_limit_down,2024-04-03,sz.001696,宗申动力,C34通用设备制造业,7.99,8.229700000000001,intraday_rebound,0.028500000000000025,640712.2075221081
B_all_open_limit_down,2024-04-08,sz.002875,安奈儿,C18纺织服装、服饰业,12.69,11.42,next_open,-0.1015788022064617,627695.6518022774
B_all_open_limit_down,2024-04-08,sz.002583,海能达,C39计算机、通信和其他电子设备制造业,4.24,3.82,next_open,-0.10055660377358494,614810.0830853374
B_all_open_limit_down,2024-04-08,sz.001373,翔腾新材,C39计算机、通信和其他电子设备制造业,32.4,33.372,intraday_rebound,0.028500000000000025,618462.1426682135
B_all_open_limit_down,2024-04-08,sh.603790,雅运股份,C26化学原料和化学制品制造业,11.67,10.51,next_open,-0.10090017137960589,605532.5483594162
B_all_open_limit_down,2024-04-08,sh.603679,华体科技,C38电气机械和器材制造业,15.08,13.57,next_open,-0.10163262599469497,592509.0955279502
B_all_open_limit_down,2024-04-09,sz.002141,贤丰控股,C38电气机械和器材制造业,1.64,1.64,next_open,-0.0015,592331.3427992918
B_all_open_limit_down,2024-04-09,sz.002875,安奈儿,C18纺织服装、服饰业,11.42,11.01,next_open,-0.03740192644483359,587899.1464775256
B_all_open_limit_down,2024-04-09,sz.002583,海能达,C39计算机、通信和其他电子设备制造业,3.82,3.9346,intraday_rebound,0.028500000000000025,591276.4483220349
B_all_open_limit_down,2024-04-09,sh.603679,华体科技,C38电气机械和器材制造业,13.57,13.9771,intraday_rebound,0.028500000000000025,594653.7501665442
B_all_open_limit_down,2024-04-09,sh.605488,福莱新材,C29橡胶和塑料制品业,14.22,14.646600000000001,intraday_rebound,0.028500000000000025,598031.0520110535
B_all_open_limit_down,2024-04-10,sh.603006,联明股份,C36汽车制造业,14.2,13.46,next_open,-0.05361267605633796,591618.6429984337
B_all_open_limit_down,2024-04-10,sh.603032,德新科技,C35专用设备制造业,22.71,23.3913,intraday_rebound,0.028500000000000025,595027.4199948966
B_all_open_limit_down,2024-04-10,sh.603172,万丰股份,C26化学原料和化学制品制造业,14.18,14.6054,intraday_rebound,0.028500000000000025,598436.1969913596
B_all_open_limit_down,2024-04-11,sh.603335,迪生力,C36汽车制造业,5.09,5.2427,intraday_rebound,0.028500000000000025,601847.2833142104
B_all_open_limit_down,2024-04-11,sz.002846,英联股份,C33金属制品业,8.96,9.228800000000001,intraday_rebound,0.028500000000000025,605258.3696370611
B_all_open_limit_down,2024-04-11,sh.605198,安德利,C15酒、饮料和精制茶制造业,36.69,37.7907,intraday_rebound,0.028500000000000025,608669.4559599118
B_all_open_limit_down,2024-04-12,sz.002734,利民股份,C26化学原料和化学制品制造业,7.52,7.7456,intraday_rebound,0.028500000000000025,612138.8718588833
B_all_open_limit_down,2024-04-15,sz.002141,贤丰控股,C38电气机械和器材制造业,1.38,1.4214,intraday_rebound,0.028500000000000025,615628.0634284789
