,n_signals,n_trades,fill_rate,win_rate,avg_return,expectancy,avg_win,avg_loss,profit_factor,total_return,max_drawdown
train,289.0,289.0,1.0,0.356401384083045,-0.006382254712911516,-0.006382254712911516,0.06480556771009657,-0.04580346820522245,0.7834986206994461,-0.7917699827305542,-0.7935643846181045
val,86.0,86.0,1.0,0.313953488372093,-0.00973863797965938,-0.00973863797965938,0.06897085276116842,-0.045758235437326336,0.6897760002731866,-0.285590537742049,-0.4390220944328299
test,107.0,107.0,1.0,0.5233644859813084,0.003861012937067723,0.003861012937067723,0.04558469237077099,-0.04195322330386135,1.1930854393610935,0.015979990532278165,-0.17197147378217081
