,n_signals,n_trades,fill_rate,win_rate,avg_return,expectancy,avg_win,avg_loss,profit_factor,total_return,max_drawdown
train,484.0,484.0,1.0,0.5103305785123967,0.006988118429995394,0.006988118429995394,0.04043299283130497,-0.02786793210639054,1.5120973498582455,1.596516491840994,-0.2579377532290288
val,164.0,164.0,1.0,0.5060975609756098,0.004783341465401942,0.004783341465401942,0.032491795995435835,-0.023609272435743896,1.4102112910865445,0.2900940330825117,-0.1491982452571443
test,277.0,277.0,1.0,0.5884476534296029,0.009907903986728674,0.009907903986728674,0.032801190331414404,-0.022825479120146538,2.0547190852932475,1.5665768016694805,-0.08918866300014316
